parish,village,category,year,population,households,under_5
BUGOYE,BUGOYE,ICCM,2018,1263,117,223.551
BUGOYE,KANYAMINIGO,ICCM,2018,1376,235,243.552
BUGOYE,MURAMBA I,ICCM,2018,1233,196,218.241
BUGOYE,RWAKINGI IB,ICCM,2018,1181,207,209.037
BUGOYE,KISAMBA I,ICCM,2018,1330,226,235.41
BUGOYE,KISAMBA II,ICCM,2018,1450,240,256.65
IBANDA,RUBONI,ICCM,2018,1281,213,226.737
IBANDA,NYAKABUGHA,ICCM,2018,1854,292,328.158
IBANDA,MIHUNGA,ICCM,2018,1038,179,183.726
IBANDA,MIRIMBO,ICCM,2018,1123,184,198.771
KATOOKE,KATOOKE I,ICCM,2018,1732,290,306.564
KATOOKE,KATOOKE II,ICCM,2018,1992,328,352.584
KATOOKE,NYANGONGE,ICCM,2018,1797,291,318.069
KATOOKE,KIRONGO,ICCM,2018,1656,249,293.112
KIBIRIZI,IHANI,ICCM,2018,636,104,112.572
KIBIRIZI,KIKOKERA,ICCM,2018,454,99,80.358
KIBIRIZI,BULINDIGURU,ICCM,2018,1119,183,198.063
KIBIRIZI,KIBIRIZI,ICCM,2018,1299,198,229.923
MUHAMBO,NDUGUTU EAST,ICCM,2018,984,176,174.168
MUHAMBO,NDUGUTU WEST,ICCM,2018,1013,174,179.301
MUHAMBO,MAGHOMA,ICCM,2018,1635,278,289.395
MUHAMBO,BUNYANGONI,ICCM,2018,1331,194,235.587
BUGOYE,MURAMBA II,MCH,2018,1088,197,192.576
BUGOYE,RWAKINGI 1A,MCH,2018,756,117,133.812
IBANDA,IBANDA I,MCH,2018,2930,521,518.61
IBANDA,IBANDA II,MCH,2018,2724,468,482.148
IBANDA,KIHARARA,MCH,2018,994,175,175.938
KATOOKE,KEMIHOKO,MCH,2018,759,125,134.343
KATOOKE,KIHINDI,MCH,2018,1071,183,189.567
KATOOKE,KINYANGOYE,MCH,2018,1797,291,318.069
KATOOKE,MAPATA,MCH,2018,792,141,140.184
KATOOKE,MULEHE,MCH,2018,1399,249,247.623
KIBIRIZI,KASANZI,MCH,2018,534,109,94.518
MUHAMBO,KATUMBA,MCH,2018,1032,182,182.664
MUHAMBO,MUHAMBO,MCH,2018,1471,239,260.367
BUGOYE,BUGOYE,ICCM,2019,1293.9435,215.65725,229.0279995
BUGOYE,KANYAMINIGO,ICCM,2019,1409.712,234.952,249.519024
BUGOYE,MURAMBA I,ICCM,2019,1263.2085,210.53475,223.5879045
BUGOYE,RWAKINGI IB,ICCM,2019,1209.9345,201.65575,214.1584065
BUGOYE,KISAMBA I,ICCM,2019,1362.585,227.0975,241.177545
BUGOYE,KISAMBA II,ICCM,2019,1485.525,247.5875,262.937925
IBANDA,RUBONI,ICCM,2019,1312.3845,218.73075,232.2920565
IBANDA,NYAKABUGHA,ICCM,2019,1899.423,316.5705,336.197871
IBANDA,MIHUNGA,ICCM,2019,1063.431,177.2385,188.227287
IBANDA,MIRIMBO,ICCM,2019,1150.5135,191.75225,203.6408895
KATOOKE,KATOOKE I,ICCM,2019,1774.434,295.739,314.074818
KATOOKE,KATOOKE II,ICCM,2019,2040.804,340.134,361.222308
KATOOKE,NYANGONGE,ICCM,2019,1841.0265,306.83775,325.8616905
KATOOKE,KIRONGO,ICCM,2019,1696.572,282.762,300.293244
KIBIRIZI,IHANI,ICCM,2019,651.582,108.597,115.330014
KIBIRIZI,KIKOKERA,ICCM,2019,465.123,77.5205,82.326771
KIBIRIZI,BULINDIGURU,ICCM,2019,1146.4155,191.06925,202.9155435
KIBIRIZI,KIBIRIZI,ICCM,2019,1330.8255,221.80425,235.5561135
MUHAMBO,NDUGUTU EAST,ICCM,2019,1008.108,168.018,178.435116
MUHAMBO,NDUGUTU WEST,ICCM,2019,1037.8185,172.96975,183.6938745
MUHAMBO,MAGHOMA,ICCM,2019,1675.0575,279.17625,296.4851775
MUHAMBO,BUNYANGONI,ICCM,2019,1363.6095,227.26825,241.3588815
BUGOYE,MURAMBA II,MCH,2019,1114.656,185.776,197.294112
BUGOYE,RWAKINGI 1A,MCH,2019,774.522,129.087,137.090394
IBANDA,IBANDA I,MCH,2019,3001.785,500.2975,531.315945
IBANDA,IBANDA II,MCH,2019,2790.738,465.123,493.960626
IBANDA,KIHARARA,MCH,2019,1018.353,169.7255,180.248481
KATOOKE,KEMIHOKO,MCH,2019,777.5955,129.59925,137.6344035
KATOOKE,KIHINDI,MCH,2019,1097.2395,182.87325,194.2113915
KATOOKE,KINYANGOYE,MCH,2019,1841.0265,306.83775,325.8616905
KATOOKE,MAPATA,MCH,2019,811.404,135.234,143.618508
KATOOKE,MULEHE,MCH,2019,1433.2755,238.87925,253.6897635
KIBIRIZI,KASANZI,MCH,2019,547.083,91.1805,96.833691
MUHAMBO,KATUMBA,MCH,2019,1057.284,176.214,187.139268
MUHAMBO,MUHAMBO,MCH,2019,1507.0395,251.17325,266.7459915
BUGOYE,BUGOYE,ICCM,2020,1325.645116,220.9408526,234.6391855
BUGOYE,KANYAMINIGO,ICCM,2020,1444.249944,240.708324,255.6322401
BUGOYE,MURAMBA I,ICCM,2020,1294.157108,215.6928514,229.0658082
BUGOYE,RWAKINGI IB,ICCM,2020,1239.577895,206.5963159,219.4052875
BUGOYE,KISAMBA I,ICCM,2020,1395.968333,232.6613888,247.0863949
BUGOYE,KISAMBA II,ICCM,2020,1521.920363,253.6533938,269.3799042
IBANDA,RUBONI,ICCM,2020,1344.53792,224.0896534,237.9832119
IBANDA,NYAKABUGHA,ICCM,2020,1945.958864,324.3264773,344.4347188
IBANDA,MIHUNGA,ICCM,2020,1089.48506,181.5808433,192.8388555
IBANDA,MIRIMBO,ICCM,2020,1178.701081,196.4501801,208.6300913
KATOOKE,KATOOKE I,ICCM,2020,1817.907633,302.9846055,321.769651
KATOOKE,KATOOKE II,ICCM,2020,2090.803698,348.467283,370.0722545
KATOOKE,NYANGONGE,ICCM,2020,1886.131649,314.3552749,333.8453019
KATOOKE,KIRONGO,ICCM,2020,1738.138014,289.689669,307.6504285
KIBIRIZI,IHANI,ICCM,2020,667.545759,111.2576265,118.1555993
KIBIRIZI,KIKOKERA,ICCM,2020,476.5185135,79.41975225,84.34377689
KIBIRIZI,BULINDIGURU,ICCM,2020,1174.50268,195.7504466,207.8869743
KIBIRIZI,KIBIRIZI,ICCM,2020,1363.430725,227.2384541,241.3272383
MUHAMBO,NDUGUTU EAST,ICCM,2020,1032.806646,172.134441,182.8067763
MUHAMBO,NDUGUTU WEST,ICCM,2020,1063.245053,177.2075089,188.1943744
MUHAMBO,MAGHOMA,ICCM,2020,1716.096409,286.0160681,303.7490643
MUHAMBO,BUNYANGONI,ICCM,2020,1397.017933,232.8363221,247.2721741
BUGOYE,MURAMBA II,MCH,2020,1141.965072,190.327512,202.1278177
BUGOYE,RWAKINGI 1A,MCH,2020,793.497789,132.2496315,140.4491087
IBANDA,IBANDA I,MCH,2020,3075.328733,512.5547888,544.3331857
IBANDA,IBANDA II,MCH,2020,2859.111081,476.5185135,506.0626613
IBANDA,KIHARARA,MCH,2020,1043.302649,173.8837748,184.6645688
KATOOKE,KEMIHOKO,MCH,2020,796.6465898,132.7744316,141.0064464
KATOOKE,KIHINDI,MCH,2020,1124.121868,187.3536446,198.9695706
KATOOKE,KINYANGOYE,MCH,2020,1886.131649,314.3552749,333.8453019
KATOOKE,MAPATA,MCH,2020,831.283398,138.547233,147.1371614
KATOOKE,MULEHE,MCH,2020,1468.39075,244.7317916,259.9051627
KIBIRIZI,KASANZI,MCH,2020,560.4865335,93.41442225,99.20611643
MUHAMBO,KATUMBA,MCH,2020,1083.187458,180.531243,191.7241801
MUHAMBO,MUHAMBO,MCH,2020,1543.961968,257.3269946,273.2812683